time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-24T14:29:49.040Z,32.8253333,-116.1513333,4.85,1.1,ml,13,84,0.05653,0.23,ci,ci37611888,2016-06-24T14:33:33.092Z,"18km NW of Ocotillo, CA",earthquake,0.7,1.77,0.262,16,automatic,ci,ci
2016-06-24T13:37:57.030Z,38.8125,-122.8216629,2.26,1.17,md,15,85,0.006901,0.03,nc,nc72654901,2016-06-24T14:08:02.239Z,"6km NW of The Geysers, California",earthquake,0.33,0.43,0.14,4,automatic,nc,nc
2016-06-24T12:53:37.000Z,60.0744,-152.9263,113.3,2.6,ml,,,,0.48,ak,ak13692498,2016-06-24T13:36:15.381Z,"46km SSW of Redoubt Volcano, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-06-24T12:40:37.000Z,63.5291,-151.1208,5.5,1,ml,,,,0.59,ak,ak13692496,2016-06-24T13:35:00.306Z,"109km W of Cantwell, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-06-24T12:38:41.410Z,-41.7068,174.5648,10,4.6,mb,,106,0.266,1.03,us,us200066g0,2016-06-24T13:44:29.584Z,"46km SSW of Brooklyn, New Zealand",earthquake,4.8,1.6,0.182,9,reviewed,us,us
2016-06-24T12:35:05.920Z,19.6166668,-155.914505,15.71,1.93,md,31,204,0.03177,0.27,hv,hv61308836,2016-06-24T12:38:18.580Z,"4km E of Holualoa, Hawaii",earthquake,1.07,0.64,0.17,5,automatic,hv,hv
2016-06-24T12:34:50.510Z,36.2475,-118.3548333,2.26,1.4,ml,16,146,0.101,0.24,ci,ci37611832,2016-06-24T12:50:50.308Z,"32km W of Olancha, CA",earthquake,0.49,1.62,0.163,18,reviewed,ci,ci
2016-06-24T11:46:25.000Z,63.1429,-151.3305,0.1,1.5,ml,,,,0.77,ak,ak13692490,2016-06-24T12:42:11.475Z,"110km NW of Talkeetna, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-06-24T11:29:33.000Z,63.5267,-151.1468,1.9,1,ml,,,,0.79,ak,ak13692487,2016-06-24T12:42:12.799Z,"110km W of Cantwell, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-06-24T11:23:46.000Z,63.5202,-151.1018,8.3,1.6,ml,,,,0.52,ak,ak13692485,2016-06-24T12:42:12.145Z,"108km W of Cantwell, Alaska",earthquake,0.4,0.3,,,automatic,ak,ak
2016-06-24T11:11:02.500Z,32.9818333,-116.2718333,3.77,1.41,ml,27,106,0.155,0.21,ci,ci37611800,2016-06-24T12:51:17.511Z,"22km SW of Ocotillo Wells, CA",earthquake,0.3,1.15,0.166,26,reviewed,ci,ci
2016-06-24T11:08:01.780Z,37.5253334,-121.7898331,2.95,1.17,md,9,159,0.07532,0.07,nc,nc72654886,2016-06-24T12:14:02.949Z,"14km NE of Milpitas, California",earthquake,0.62,1.2,0.01,7,automatic,nc,nc
2016-06-24T11:00:55.000Z,61.4576,-146.7778,31.5,1.6,ml,,,,0.55,ak,ak13692483,2016-06-24T11:52:15.855Z,"43km NNW of Valdez, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-06-24T10:53:37.300Z,18.082,-65.5385,12,2,Md,3,234,0.30093562,0.1,pr,pr16176005,2016-06-24T12:01:13.469Z,"7km WSW of Esperanza, Puerto Rico",earthquake,1.3,6,0,3,reviewed,pr,pr
2016-06-24T10:50:52.680Z,36.2901667,-89.4455,4.76,1.78,md,13,76,0.01565,0.08,nm,nm60122347,2016-06-24T13:23:41.990Z,"4km NE of Ridgely, Tennessee",earthquake,0.25,0.19,0.11,7,reviewed,nm,nm
2016-06-24T10:49:07.000Z,57.7269,-154.3669,67.8,2,ml,,,,0.26,ak,ak13692481,2016-06-24T11:52:15.246Z,"31km NW of Larsen Bay, Alaska",earthquake,0.5,1.9,,,automatic,ak,ak
2016-06-24T10:38:26.570Z,36.2991667,-89.4488333,5.86,1.43,md,12,74,0.01109,0.47,nm,nm60027608,2016-06-24T12:38:02.290Z,"5km NE of Ridgely, Tennessee",earthquake,2.72,5.23,0.055,6,reviewed,nm,nm
2016-06-24T10:37:05.680Z,36.2963333,-89.4485,5.49,1.66,md,18,44,0.01136,0.02,nm,nm60027603,2016-06-24T12:27:47.410Z,"5km NE of Ridgely, Tennessee",earthquake,0.64,0.66,0.024,8,reviewed,nm,nm
2016-06-24T10:16:27.320Z,37.5246658,-121.786499,3.21,1.66,md,19,100,0.075,0.06,nc,nc72654866,2016-06-24T10:46:02.702Z,"15km NE of Milpitas, California",earthquake,0.28,0.64,0.08,14,automatic,nc,nc
2016-06-24T10:08:31.000Z,62.1324,-150.6042,3.1,1.3,ml,,,,0.22,ak,ak13692477,2016-06-24T10:59:10.815Z,"33km SW of Talkeetna, Alaska",earthquake,0.9,0.8,,,automatic,ak,ak
2016-06-24T09:57:27.000Z,65.104,-152.2986,12.8,1,ml,,,,0.45,ak,ak13691901,2016-06-24T10:59:10.173Z,"12km SW of Tanana, Alaska",earthquake,0.9,0.7,,,automatic,ak,ak
2016-06-24T09:23:02.480Z,51.1577,179.4226,35,4.9,mb,,143,0.232,1.04,us,us200066f8,2016-06-24T10:02:14.496Z,"89km S of Semisopochnoi Island, Alaska",earthquake,8.5,1.9,0.027,429,reviewed,us,us
2016-06-24T09:21:43.720Z,47.795,-122.8041667,22.22,1.47,ml,10,78,0.07411,0.17,uw,uw61157747,2016-06-24T12:39:05.720Z,"11km W of Lofall, Washington",earthquake,0.62,0.92,0.175,15,reviewed,uw,uw
2016-06-24T08:38:34.200Z,47.2863333,-122.2921667,21.99,2.92,ml,31,44,0.05907,0.29,uw,uw61157732,2016-06-24T12:31:10.343Z,"1km NW of Lakeland South, Washington",earthquake,0.55,0.98,0.131,142,reviewed,uw,uw
