,q1,q2,q3,q4,q5,q6,gender,region
0,2,0,3,1,4,3,2,5
1,4,0,3,1,2,2,2,1
2,3,0,3,1,5,4,2,6
3,2,0,3,1,5,3,2,9
4,2,1,3,1,4,1,2,3
5,1,0,3,1,5,3,2,1
6,1,1,2,2,0,0,0,0
7,1,0,1,1,3,2,2,7
8,1,0,3,1,5,4,2,1
9,1,0,1,1,2,3,2,1
10,2,0,2,1,4,3,2,8
11,1,0,1,1,1,1,2,2
12,4,1,0,0,0,0,0,0
13,4,1,3,1,4,3,2,6
14,2,0,1,1,5,4,2,5
15,3,1,3,1,4,4,2,1
16,1,0,1,1,4,4,2,1
17,3,1,3,1,3,4,2,1
18,2,1,3,1,4,4,2,6
19,0,1,3,1,4,3,2,6
20,1,0,1,1,4,4,2,4
21,1,0,1,1,4,5,2,7
22,1,0,3,1,2,2,2,3
23,4,1,3,1,5,5,2,3
24,1,1,3,1,4,4,2,1
25,0,0,1,1,3,3,2,0
26,1,0,3,1,5,5,2,1
27,1,0,3,1,1,3,2,3
28,4,0,1,1,5,4,2,1
29,2,0,1,1,3,2,2,7
30,3,1,3,1,3,3,2,1
31,3,0,3,1,2,2,2,1
32,3,1,3,1,4,4,2,0
33,2,1,1,1,3,4,2,0
34,3,1,3,2,4,4,2,2
35,1,0,2,2,1,1,2,6
36,1,0,1,1,4,4,2,5
37,1,1,1,1,4,3,2,8
38,3,1,3,2,5,5,2,6
39,1,0,3,1,1,1,2,1
40,3,1,2,1,2,2,2,0
41,1,0,1,1,3,3,2,4
42,3,1,2,2,1,5,2,6
43,4,1,3,2,3,5,2,6
44,3,1,3,1,3,3,2,6
45,3,1,3,2,2,2,2,6
46,4,1,1,2,4,4,2,9
47,0,1,2,2,1,1,2,4
48,1,0,1,1,1,1,2,7
49,2,1,3,1,1,5,2,3
50,3,1,2,1,5,4,2,3
51,3,1,2,2,1,4,2,6
52,1,0,1,1,5,5,2,8
53,1,0,3,1,5,5,2,2
54,2,0,3,1,5,3,2,1
55,0,0,3,1,4,4,2,1
56,1,0,3,1,5,5,2,6
57,2,0,3,1,4,4,2,8
58,4,0,3,1,5,5,2,6
59,3,1,3,1,5,4,2,9
60,2,0,2,2,5,4,2,6
61,4,0,1,1,4,5,2,6
62,3,1,2,2,5,5,2,6
63,4,1,2,2,4,2,2,6
64,1,0,3,1,5,5,2,6
65,2,0,3,1,4,3,2,6
66,2,0,3,1,5,3,2,6
67,4,0,3,1,5,5,2,6
68,3,1,2,2,5,5,2,6
69,3,1,1,2,4,2,2,6
70,4,0,1,1,4,4,2,6
71,0,1,1,1,2,2,2,6
72,0,1,3,2,4,2,2,6
73,2,0,2,2,1,1,2,6
74,3,0,1,1,2,2,2,6
75,3,1,1,2,4,5,2,6
